state,room_id,name,city,person_cap,bedrooms,bathrooms,amenities,reviews,prop_type,guests,star,avg_rating,min_nights,max_nights,price
Alabama,22627145,Sun and fun,Gulf Shores,10,5,2.5,,34,Entire condominium,10 guests,5.0,4.88,1,1125,60.0
Alabama,21547622,Sunrise Village 102,Gulf Shores,6,4,1.0,,44,Entire apartment,6 guests,4.5,4.64,3,31,90.0
Alabama,9464594,SUZY's Beautiful Updated Historic 3BD/2BTH Home,Birmingham,12,4,2.0,,230,Entire house,12 guests,5.0,4.76,2,1125,79.0
Alabama,20590767,Boardwalk Condo with Spectacular Ocean Views,Gulf Shores,6,2,2.0,,99,Entire condominium,6 guests,5.0,4.92,3,1125,75.0
Alabama,14085541,Crystal Shores Condo with Spectacular Ocean View,Gulf Shores,6,2,2.0,,111,Entire condominium,6 guests,5.0,4.88,3,1120,75.0
Alabama,23792233,"Charming Springhill Cottage
Convenient location",Mobile,2,1,1.0,,128,Private room in cottage,2 guests,5.0,4.88,1,1125,35.0
Alabama,17775222,Cottage in the Woods,Fairhope,10,5,2.0,,93,Entire cottage,10 guests,5.0,4.82,2,1125,99.0
Alabama,23329227,Beautiful 2 King Bed/2 Bath Condo by Beach,Gulf Shores,6,3,2.0,,112,Entire apartment,6 guests,5.0,4.9,1,1125,79.0
Alabama,24621509,"Classic Loft In Downtown Auburn, Alabama",Auburn,4,1,1.0,,82,Entire loft,4 guests,5.0,4.75,1,7,45.0
Alabama,21449482,GULF VILLAGE CONDO ON BEACH - DIRECT VIEW OF GULF,Gulf Shores,4,2,1.0,,90,Entire condominium,4 guests,5.0,4.87,1,1125,59.0
Alabama,22447410,Beach Bliss - sleeps 12,Gulf Shores,12,5,2.0,,31,Entire house,12 guests,5.0,4.84,2,1125,120.0
Alabama,17046897,The Tree Top Loft in Historic Opelika Alabama,Opelika,5,3,1.0,,100,Entire loft,5 guests,5.0,4.9,1,9,125.0
Alabama,7236653,YURT 1Clear Creek Cove RV Resort-Logan Martin Lake,Talladega,6,4,1.0,,110,Yurt,6 guests,5.0,4.81,2,1125,99.0
Alabama,21427897,Watch the Waves over Dinner at a Beach Resort High-Rise,Gulf Shores,6,2,2.0,,85,Entire condominium,6 guests,5.0,4.93,2,1125,79.0
Alabama,29189738,"Beach Side ✅ ""Leaving Footprints"" on West Beach",Gulf Shores,6,3,1.0,,63,Entire condominium,6 guests,5.0,5.0,4,90,67.0
Alabama,3741748,The Cottage at Meadowbrook,Cullman,10,3,1.0,,214,Entire cottage,10 guests,5.0,4.89,1,1125,75.0
Alabama,24280628,Treehouse Retreat,Huntsville,10,6,2.5,,88,Entire house,10 guests,5.0,4.8,2,1125,130.0
Alabama,29338032,Rosemary’s Hideout,Foley,2,1,1.0,,56,Tiny house,2 guests,5.0,4.75,1,30,74.0
Alabama,19073692,Beachview 204@The HangOut &amp; Gulf Shores Beaches,Gulf Shores,3,3,1.0,,115,Entire condominium,3 guests,5.0,4.77,2,180,49.0
Alabama,24830812,Dauphin Island Beachfront Condo! Amenities Galore!,Dauphin Island,6,5,2.0,,76,Entire condominium,6 guests,5.0,4.99,2,30,89.0
Alabama,24830812,Dauphin Island Beachfront Condo! Amenities Galore!,Dauphin Island,6,5,2.0,,76,Entire condominium,6 guests,5.0,4.99,2,30,89.0
Alabama,13915500,WALK TO THE HANGOUT FESTIVAL !!!!,Gulf Shores,4,2,1.0,,155,Entire apartment,4 guests,5.0,4.93,2,1125,65.0
Alabama,6510732,"Large, sunny room",Birmingham,3,3,1.0,,372,Private room in house,3 guests,4.5,4.71,1,1125,40.0
Alabama,22295693,Beachfront -Top Floor -Private Balcony - Amenities,Gulf Shores,4,2,1.0,,82,Entire condominium,4 guests,5.0,4.77,3,1000,59.0
Alabama,13218395,McGrady House—Historic Avondale neighborhood,Birmingham,6,2,1.0,,327,Entire house,6 guests,5.0,4.92,1,1125,75.0
Alabama,16793092,LIGHTHOUSE 902 - BEACHFRONT WITH VIEWS!,Gulf Shores,6,3,2.0,,56,Entire condominium,6 guests,5.0,4.91,1,1125,80.0
Alabama,27171803,BV319 - HANGOUT Across from the HANGOUT!,Gulf Shores,2,1,1.0,,73,Entire condominium,2 guests,5.0,4.9,2,1125,58.0
Alabama,19447471,VICTORIA HOUSE (Downtown!),Mobile,2,1,1.0,,238,Entire apartment,2 guests,5.0,4.97,1,1125,95.0
Alabama,7081872,The Bungalow,Fairhope,2,1,1.0,,144,Farm stay,2 guests,5.0,4.78,1,90,48.0
Alabama,23703564,Secluded Cottage near Gulf Shores . Built 2018 .,Foley,6,3,1.0,,53,Entire cottage,6 guests,4.5,4.64,3,1125,59.0
Alabama,26385075,"West Beach House, Beach view/ access, sleeps 5",Gulf Shores,5,3,2.0,,59,Entire house,5 guests,5.0,4.81,1,60,90.0
Alabama,31126682,Mom's House (Southern Comfort),Mobile,2,1,1.0,,103,Entire apartment,2 guests,5.0,4.92,1,28,59.0
Alabama,7904769,14th floor oceanfront Condo,Orange Beach,8,4,2.0,,81,Entire apartment,8 guests,5.0,4.81,1,1125,79.0
Alabama,4907890,Contemporary Island Life,Dauphin Island,4,2,2.0,,93,Entire townhouse,4 guests,5.0,4.96,3,14,75.0
Alabama,14892103,Sugar Beach- Beach Front free beach chair(Mar-Oct),Orange Beach,6,4,2.0,,67,Entire apartment,6 guests,5.0,4.85,3,90,59.0
Alabama,13548810,Historic Charm! Experience it !,Mobile,3,2,1.0,,288,Private room in house,3 guests,5.0,5.0,1,30,50.0
Alabama,8416978,Bon Secour / Foley Historic Carriage House Room,Foley,2,1,1.0,,87,Private room in guesthouse,2 guests,5.0,4.97,2,7,90.0
Alabama,20014079,"COUPLES BEACH NEST - 
GULF FACING!",Orange Beach,2,1,1.0,,91,Entire condominium,2 guests,5.0,4.93,1,1125,316.0
Alabama,11721072,Oceanfront 11th floor 2B/2B,Orange Beach,8,3,2.0,,63,Entire apartment,8 guests,5.0,4.79,2,1125,79.0
Alabama,20803424,Relaxing and comfy retreat. NO HIDDEN FEES,Mobile,2,2,1.0,,151,Private room in house,2 guests,5.0,4.99,1,1125,45.0
Alabama,21899806,"WESTWIND CONDO ON  BEACH,  DIRECT VIEW, SLEEPS 6",Gulf Shores,6,4,1.0,,85,Entire condominium,6 guests,5.0,4.89,1,30,59.0
Alabama,31356282,"""HANGOUT"" BEACHVIEW STUDIO SLEEPS 4 GUESTS",Gulf Shores,4,2,1.0,,52,Entire condominium,4 guests,5.0,4.88,1,1125,54.0
Alabama,21624107,Summer Breeze,Orange Beach,6,3,2.0,,50,Entire place,6 guests,5.0,4.8,3,120,84.0
Alabama,17609964,"Escape, relax &amp; enjoy Lagoon Life!",Gulf Shores,4,2,1.0,,77,Entire guesthouse,4 guests,5.0,4.95,3,30,38.0
Alabama,23045449,Sandy Toes! Lovely Beach Studio at Beach Resort,Gulf Shores,4,2,1.0,,70,Entire condominium,4 guests,5.0,4.93,5,75,53.0
Alabama,15603295,Baywatch Cottage,Gulf Shores,4,2,1.0,,98,Entire bungalow,4 guests,5.0,4.92,2,1125,85.0
Alabama,23728588,OceanSide Top-Floor Corner Condo - penthouse views,Gulf Shores,6,3,2.0,,37,Entire condominium,6 guests,5.0,4.78,1,1123,84.0
Alabama,20932908,"Incredible Views !!  Hot Tubs, Indoor Pool !!",Gulf Shores,6,3,2.0,,50,Entire townhouse,6 guests,5.0,4.94,5,99,71.0
Alabama,23311902,"Safe, Uptown Party Pad w/ Jacuzzi &amp; Billiards",Birmingham,16,16,2.5,,86,Entire house,16+ guests,4.5,4.59,1,21,149.0
Alabama,22792461,Crossplex Villa,Birmingham,4,3,1.0,,123,Entire bungalow,4 guests,4.5,4.71,1,1125,65.0
Alabama,13855694,SUZY's 5BD2BTH SOUTHSIDE Home Walking Dis to UAB,Birmingham,16,6,2.0,,178,Entire house,16+ guests,5.0,4.75,2,1125,89.0
